Subject,Having_IP,Having_At_Symbol,Prefix_Suffix,URL_Length_Long,HTTPS_Token_in_URL,Suspicious_TLD,Shortening_Service,Contains_Password_Field,Domain_Old(>12mo),Alexa_Popular,label
Renowned watches reproduced for you,0,1,0,0,0,1,1,0,1,1,1
Re: [rt.cpan.org #30782] "Used only once" warning under perl 5.10,1,1,1,0,1,0,1,1,1,1,1
Ref No: MELI-T/ 17-F044262312,0,0,1,1,0,0,1,1,1,1,1
Top Quality Size,0,0,0,1,0,0,1,0,1,1,1
Fast Shipping WorldWide. ,0,0,0,0,0,0,0,0,1,1,0
Your bevy of beauties will astound zinax fveon kw,1,0,0,1,0,0,1,0,1,1,1
Good gayelord suggestion,0,0,0,1,0,1,0,0,1,1,1
"Working with Windows Training - ADVANCED - Wed, 14th May 2008 ",0,0,0,0,0,0,0,0,1,1,0
Re: Being RFC-ignorant... - Please verify,1,1,0,0,1,0,0,1,1,1,1
From Dominique Higgins - Urgent,1,0,1,1,1,0,1,0,1,1,1
[Bug 5675] TextCat sidesteps 'what if I DON'T like language X?',0,0,1,0,0,0,0,0,1,1,0
Help Stop Premature Ejaculation! ,0,0,0,0,0,0,0,0,1,1,0
Be so big you will need new underwear,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
rolex watches,0,0,0,0,0,0,0,0,1,1,0
Re: BBC(Bleadperl Breaks CPAN) Today: SQL::Translator (0.08001) - Important,0,0,0,0,0,0,0,0,1,1,0
[UAI] CFP: ACL 2005 Workshop on Feature Engineering for Machine Learning in NLP,1,0,1,1,1,1,1,0,1,1,1
svn commit: r586723 [1/2] - /spamassassin/rules/trunk/sandbox/jm/20_sought.cf - Please verify,0,0,0,0,0,0,0,0,1,1,1
Guaranteed Erection Fast,0,0,0,0,1,1,0,0,1,1,1
"Make the Impossible, Possible. Enlarge your Penis by 3"" in Weeks!",0,0,0,0,0,0,0,1,1,1,0
[opensuse] Is anyone using an Asrock AM2NF3-VSTA?,0,1,1,0,0,0,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
[clamav-virusdb] Update (daily: 5744) - Important,0,0,0,1,1,0,1,0,1,1,1
For:ee6926e026081dad6db64da282e6de22 Britney and Paris Lesbian video,0,0,0,1,1,1,0,0,1,1,1
[clamav-virusdb] Update (daily: 6124),0,0,0,0,0,0,0,0,1,1,0
Brand name meds at dirt cheap price.,0,0,1,0,0,0,1,1,1,1,1
Your recipe for successful love  Ym,0,0,0,0,0,1,1,0,1,1,1
Re: [-.ext.B.t]optree_misc.t failure on VMS in blead@32181,0,1,0,0,0,1,1,0,1,1,1
RE: patch for ext/IO_Compress_Zlib/t/101truncate-deflate.t for EBCDIC platform,0,0,0,0,0,0,0,0,1,1,0
*3 FREE Bottles Of VPXL !! ,1,0,0,0,0,1,0,0,1,1,1
[UAI] Postdoc positions at Oregon State University,0,1,1,0,0,1,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Re: [opensuse] openSUSE 11.0 and the Non-ready KDE4,0,0,0,0,0,0,0,0,1,1,1
Re: [ILUG] VIA EPIA server,0,1,0,0,0,1,0,0,1,1,1
I want sale you rolex . Do you want one? ,1,0,1,0,1,1,1,0,1,1,1
Don?t leave her dissatisfied,0,0,0,0,0,0,0,0,1,1,0
Buy a new Perrelet watch   ,0,0,0,0,0,0,0,0,1,1,1
Changes to the maps API without updating the documentation!,0,0,0,1,0,0,0,0,1,1,1
A modification suggestion - Please verify,0,0,0,0,0,0,0,0,1,1,1
"replica Watches! rolex, patek philippe, vacheron ...   ",0,1,1,1,0,0,0,0,1,1,1
For:42fcb2d48c638c1153ec87d1a563ac0f Boy Loses Arm in Gator Attack,1,1,1,0,0,0,0,0,1,1,1
From Tim Sherman,1,1,0,1,0,0,0,0,1,1,1
CNN.com Daily Top 10,1,1,0,0,1,0,1,0,1,1,1
Jenna Jameson wants you as BFF,0,0,1,0,0,0,0,0,1,1,0
Gain 3+ Inches In Length. - Urgent,0,0,0,0,1,1,1,0,1,1,1
Re: [Python-3000] gettext,0,1,0,0,1,0,0,1,1,1,1
Re: [Python-3000] binascii.crc32 vs zlib.crc32,0,0,0,0,0,0,0,0,1,0,0
Re:,0,0,0,0,0,0,0,0,1,1,0
Succeed in close relationships,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,1,1,0,0,0,0,0,0,1,1
[UAI] Combining probability and logic: conference,0,0,0,0,0,0,1,1,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Re: 5.10 code freeze and dual-life modules,0,0,0,0,0,0,0,0,1,1,0
Help Stop Premature Ejaculation! ,0,0,0,0,0,0,0,0,1,1,0
A true godsend to your little soldier of love,0,0,0,0,1,0,0,0,1,1,1
"ietf-dkim Digest, Vol 108, Issue 2",0,0,1,0,0,0,0,1,1,1,1
Learn how to prolonge your pleasure in bed. I,0,0,0,0,0,0,1,1,1,1,1
Re: [perl #46579] (Documentation?) Bug with 'last',0,0,1,0,0,0,0,0,1,1,1
Five start health products,0,0,1,0,1,0,0,0,1,1,1
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,1,0
"Re: [Python-Dev] [Distutils] how to easily consume just the parts	of eggs that are good for you",0,0,0,0,0,0,0,0,1,1,0
Re: selective greylisting based on user preference - Please verify,0,0,0,0,0,0,1,0,1,1,1
"Python at Sun's CommunityOne May 5, 2008",0,0,0,1,0,0,0,1,1,1,1
New possibility to satisfy her dreams immediately sywqr ffhd jkqysk,0,1,0,1,1,0,0,1,1,1,1
[UAI] UAI-2004 Proceedings: Announcement,0,0,0,0,0,0,0,0,1,1,0
Womens wish list for men,0,0,0,0,0,0,0,0,1,1,0
[Bug 5644] Message sends BodyEval::check_stock_info into hard loop,1,0,0,0,0,0,0,0,1,1,1
Re: [Python-Dev] Python XML Validator,0,0,0,0,0,0,0,0,1,1,0
Re: [opensuse] Update mirror sites?,1,0,0,0,0,0,0,0,1,1,1
[UAI] SUM 2007 Call for Participation,0,0,1,0,0,0,0,0,1,1,0
SoftTabsForCustomersShipping,0,0,0,0,0,0,0,0,1,1,0
in processing....,0,0,0,0,0,0,0,0,1,1,0
Elegance in details- stylish accessories for ladies and gentlemen.,1,0,0,0,0,1,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
ANN: python-ldap-2.3.2,0,1,0,0,0,0,0,0,1,1,0
Re: possible to avoid slowdown on large m//g? - Please verify,0,0,0,0,0,0,0,0,1,1,1
Someone sent you an Ecard.,0,0,0,0,0,0,0,0,1,1,0
[perl #46747] regexp inconsistency ,0,0,0,0,0,0,0,0,1,1,0
Re: [opensuse] Defragging: possible?  necessary?,0,0,0,0,0,0,0,0,1,1,0
6 new messages in 1 topic - abridged,0,0,0,0,0,0,0,0,1,1,0
Helping Men with low sex drives,0,0,0,0,0,0,0,0,1,1,0
">+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= >THE DAILY TOP 10 >from CNN.com >Top videos and stories as of: Aug  1, 2008  3:58 PM EDT >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= TOP 10 VIDEOS 1. MONTAUK 'MONSTER' http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn Is it a devil dog? Is it a turtle? Is it the Montauk Monster? CNN's Jeanne Moos asks, ""what is this thing?"" 2. RACY PHOTOS OF TODDLER'S MOM http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn 3. NEWS OF THE ABSURD EPISODE 54 http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn 4. POLICE BEATING DISPUTE http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/levs.police.video.cnn 5. MOM PLEADS FOR GIRL'S RETURN http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/hill.boss.reigh.plea.cnn 6. DEFENDANT FAKES HEART ATTACK http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/dnt.fake.heart.attack.mxf.whio 7. KILLER CARRIED VICTIM'S HEAD http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/07/31/natpkg.can.bus.decapitation.ctv 8. MURDER CONFESSION RECANTED http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/08/01/blake.brazil.teen.murder.itn 9. ANTHRAX SUSPECT'S HOME http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/08/01/von.dr.bruce.ivins.home.cnn 10. HECKLERS INTERRUPT OBAMA TALK http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/01/sot.fl.obama.protesters.baynews9 TOP 10 STORIES 1. SUSPECT IN BEHEADING IDENTIFIED http://www.cnn.com/2008/WORLD/americas/08/01/canada.beheading/index.html Canadian police say Vince Weiguang Li, 40, of Edmonton is charged with second-degree murder in the beheading of a man on a bus. 2. JUDGE TAKEN OFF LAST JENA 6 CASES http://www.cnn.com/2008/CRIME/08/01/jena6.appeal/index.html 3. PEOPLE MAG GETS PITT-JOLIE PIX http://www.cnn.com/2008/SHOWBIZ/Movies/08/01/brangelina.photos.ap/index.html 4. ATTACK IN TORONTO CALLED RACIAL http://www.cnn.com/2008/WORLD/americas/08/01/canada.attack.ap/index.html 5. IREPORTERS' UNUSUAL NAMES http://www.cnn.com/2008/LIVING/08/01/unusual.names.irpt/index.html 6. MOTHER PLEADS FOR CHILD'S RETURN http://www.cnn.com/2008/CRIME/08/01/rockefeller.kidnapping/index.html 7. KARADZIC: I MADE DEAL WITH U.S. http://www.cnn.com/2008/WORLD/europe/08/01/karadzic.trial/index.html 8. SUSPECT ARRESTED IN SWIM KILLINGS http://www.cnn.com/2008/CRIME/08/01/wisconsin.shooting.ap/index.html 9. ANTHRAX SUSPECT APPARENT SUICIDE http://www.cnn.com/2008/CRIME/08/01/anthrax.death/index.html 10. MCCAIN: OBAMA CRITICISM 'FAIR' http://www.cnn.com/2008/POLITICS/08/01/campaign.wrap/index.html CNN, The Most Trusted Name in News >    Cable News Network LP, LLLP.                       < >    One CNN Center, Atlanta, Georgia 30303             < >    2008 Cable News Network LP, LLLP.                  < >    A Time Warner Company.                             < >    All Rights Reserved.                               < ========================================================= =   Please send comments or suggestions by going to     = =           http://www.cnn.com/feedback/                = =                                                       = =      Read our privacy guidelines by going to          = =         http://www.cnn.com/privacy.html               = ========================================================= You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings, go to: http://www.cnn.com/linkto/bn.manage.html To unsubscribe from the Daily Top 10, go to http://cgi.cnn.com/m/clik?e=62f73b75923b64042f1e88cf1bf89663@gvc.ceas-challenge.cc&l=cnn-dailytop10 - Urgent",0,0,0,0,0,0,0,0,1,1,0
Because most men cannot satisfy their women,0,0,0,0,0,0,0,0,1,1,1
Wing IDE 3.0.5 released,0,0,0,0,0,1,0,0,1,1,1
PathTools beta for testing - Please verify,1,0,0,0,0,1,1,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-Dev] [Python-3000]  No releases tonight,0,0,1,0,0,0,1,0,1,1,1
Male Enhancement Reviews,0,0,0,0,0,0,0,0,1,1,0
Re: [FoRK] Book Mooch,0,0,0,1,0,1,1,0,1,1,1
Are remote workers a network security risk?,0,0,0,1,0,0,0,0,1,1,1
Gradual but stable results,0,0,0,0,1,0,0,0,1,1,0
[Python-3000] refleaks,0,0,1,1,0,0,0,0,1,0,1
Re: [Python-Dev] No releases tonight,1,1,0,0,0,0,0,0,1,1,1
Generate the best love results here,0,0,0,0,0,0,0,0,0,0,0
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,1,0
Sluttily attractive girls,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Buy a new Perrelet watch   ,0,0,1,1,1,0,0,1,1,1,1
Re: [Python-3000] Spooky behavior of dict.items() and friends - Action needed,0,1,1,0,1,0,0,1,1,1,1
Re: [Python-Dev] fixing tests on windows,0,0,0,0,0,0,0,0,1,1,0
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,0,0,1,0,0,1,0,1,1,1
Exclusive stuff for mans - Action needed,0,1,1,0,0,0,0,0,1,1,1
[Slashdot] Stories for 2008-04-13,1,1,0,0,0,0,0,0,1,1,1
[UAI] CFP:  FLAIRS 2005--Special Track on Uncertain Reasoning - Urgent,0,0,0,0,0,0,0,1,1,1,1
CNN.com Daily Top 10 - Please verify,0,0,0,0,1,1,0,1,1,1,1
Re: Net/Ping/t/510_ping_udp.t fails on Windows Vista,1,0,0,0,0,0,1,1,1,1,1
Coming fast and furious,0,0,0,0,0,0,0,0,1,1,0
Re: [opensuse] Advice on new hardware,0,0,0,0,0,0,0,0,1,1,0
Direct message from SpamExperts via web,0,0,0,0,1,0,0,1,1,1,1
Re: [PATCH] Bug fix for storing shared objects in shared structures,0,0,0,1,0,0,0,0,1,0,1
From Cecile Vega,1,0,1,0,0,0,1,0,1,1,1
Replica watches from Officine Panerai closest to original   ,0,1,0,0,0,1,0,0,1,1,1
Re: [opensuse] Localhost:631 is Not Found,1,0,0,0,0,0,1,0,1,1,1
Health world,0,0,0,0,0,0,0,0,1,1,0
"Re: [opensuse] Re: Need a tool like mmv, but to generate sequential names",0,1,1,1,0,1,0,0,1,1,1
Re: server is rejecting mail from single domain,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-Dev] Fixing buildbot/external(-amd64).bat files on Windows - Action needed,0,1,0,1,0,0,0,0,1,1,1
Ranking And Reviews Of The Top 5 Penis Enlargement Products! - Urgent,0,1,0,0,0,0,0,0,1,1,1
[Py2exe-users] py2exe & IIS problem,1,0,0,1,0,0,0,0,1,1,1
Re: [Python-3000] [stdlib-sig] PEP 3108 - stdlib reorg/cleanup,0,0,0,0,0,0,0,0,1,1,0
[SM-USERS] Hidden folders?,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-Dev] Python 2.6 and 3.0 ...and applink.c? - Please verify,1,0,0,0,0,1,0,0,1,1,1
Re: [opensuse] Online update,0,0,0,0,0,1,0,0,1,1,1
"V, Produktbeschreibungen ..",0,0,1,0,0,0,0,1,1,1,1
Solving the Top Five IT Security Audit Issues,0,0,1,1,0,0,0,1,1,1,1
CNN Alerts: My Custom Alert,1,0,1,1,1,1,0,0,1,1,1
"Re: [Python-Dev] Proposal: from __future__	import	unicode_string_literals",0,0,0,0,0,0,0,0,1,1,0
Re: [opensuse] openmotiff22-libs always avail for update even I set it to taboo,0,0,0,0,0,0,0,0,1,1,0
Re: [spambayes-dev] Subversion conversion?,0,0,0,0,0,0,0,1,1,1,0
First-class replica watches at Replica Classics ,0,0,0,1,0,0,0,0,1,1,0
"Versatile, Colorful Tubs Work Hard Indoors and Out",0,0,1,0,1,0,1,1,1,1,1
CNN Alerts: My Custom Alert,0,0,0,1,0,1,0,0,0,1,1
Don't want to buy their shops unknown in the stores?,0,0,0,0,0,0,0,0,1,1,0
Replica Classics trendy replica watches for you   ,1,0,0,0,0,0,0,0,1,1,0
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,1,0
How to get the attention of recruiters ,1,0,0,0,0,0,0,0,1,1,0
ANN: python-ldap-2.3.2,0,0,0,1,0,0,1,0,1,1,1
CNN Alerts: My Custom Alert,0,0,0,0,1,0,0,0,1,1,1
Penis Enlargement Is Possible ! Learn How and What Products Work,0,0,0,0,0,0,0,0,1,1,0
[UAI] [ESSLLI 2006] Second Call for Course and Workshop Proposals,0,0,0,0,1,0,1,0,1,1,1
Re: [opensuse] Recent kernel update(s) failed,1,0,0,1,1,0,0,0,1,1,1
SV: SV: [opensuse] Migrate from 32bit to 64bit?,0,0,0,0,1,1,1,0,1,1,1
"Instill fear in you lady tonight, with VPXL inspired cock's might! o",0,0,0,0,0,0,0,0,1,1,0
Impress her with your huge boner,0,0,0,0,0,0,0,0,1,1,0
Which Ones Really Work? We List The Top Penis Enlargement Products!,0,0,0,0,0,0,0,0,1,1,0
Your insatiable chick will be full of pleasure,0,0,1,0,0,0,0,0,1,1,0
[spambayes-dev] 1.1b1?,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-3000] what do I use in place of reduce?,0,0,0,1,0,0,0,1,1,1,1
Re: [Python-3000] Reminder: last alphas next Wednesday 07-May-2008,1,0,0,1,1,0,0,0,1,1,1
[Bug 5825] [review] need to update mkrules on 3.2 to match SVN trunk,0,0,0,0,0,1,0,0,1,1,1
Free of charge professional installation consultations could be of great help. Prompt reply on all your requests. Money back guarantee ensures the quality of product.,0,0,0,0,0,0,1,1,1,1,1
New revolutionary products to help men,0,0,1,0,0,0,0,0,1,1,0
Happy Birthday from Your Voice,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,0,1,1,0,0,1,1,1,1,1
From Ramiro Faulk,0,0,1,0,0,0,0,0,1,0,1
we cure people,0,0,0,0,0,0,0,0,1,1,0
RE: Week 2,0,0,0,0,0,0,0,0,1,1,0
Good jecho solution,0,0,0,0,0,0,0,0,1,1,0
Re: Code freeze,0,0,0,0,0,0,0,0,1,1,0
Re: - Please verify,1,0,1,0,0,0,0,0,1,1,1
waals roister spectator passport vinyl,1,0,1,1,0,1,0,0,1,1,1
2 interfaces,0,0,1,1,1,0,0,1,1,1,1
Re: [tt] [FoRK] Book guillotining - spine removal for amateurs,0,0,0,0,0,0,1,0,1,1,1
The top rated penis enlarger Proven Results. 100% Guaranteed.,0,0,0,0,0,0,1,0,1,1,1
[PATCH] faster utf(16|32) decode_xs & encode_xs,0,0,0,0,0,0,0,0,1,1,0
Re:,0,0,0,0,0,0,0,0,1,1,0
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,1,0
Best ezequiel offer,0,0,0,0,0,0,0,0,1,1,0
"replica Watches! rolex, patek philippe, vacheron ... ",0,0,0,0,0,0,0,0,1,1,0
What are the Biggest Blunders when Building Spreadsheet Apps in Java? - Important,0,0,1,1,0,0,0,1,1,1,1
"Produce Stronger, Rock Hard Erections. ",0,0,1,0,0,0,0,0,1,1,0
from Augusta Sparks,0,0,0,0,0,0,0,0,1,1,0
glassware bunyan eros blackball bunyan,0,1,0,0,0,0,1,0,1,1,1
Direct message from SpamExperts via web,1,1,0,1,0,0,1,0,1,1,1
SoftTabsPharmacyHealthyLife,1,0,1,0,1,0,1,0,1,1,1
Penis Enlargement Is Possible ! Learn How and What Products Work,0,0,0,0,0,0,0,0,1,1,0
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,1,0
classify pellet hannah switzer storage,1,1,0,0,0,0,1,0,1,1,1
horsetail blackball gross owly commando,0,0,0,0,0,0,0,0,1,1,0
The bigger tool,1,1,0,0,0,0,0,0,1,1,1
Re: [ie-rant] Fwd: excellent food article,0,0,0,0,0,0,0,0,1,1,1
I want sale you rolex . Do you want one? ,0,0,0,0,0,0,0,0,1,1,0
avaricious flu digress bounce diathermy,0,0,1,0,1,1,0,1,1,1,1
Daily Romantic Horoscope for Singles,0,0,0,1,0,0,0,0,1,1,1
Take it to the seventh heaven of perfect intimate life,1,1,1,1,0,0,1,1,1,1,1
Re:,0,0,0,0,0,0,0,0,1,1,0
CNN Alerts: My Custom Alert - Important,0,0,0,0,0,0,0,0,1,1,0
Very discrete shipping and billing,0,0,0,0,0,0,0,0,1,1,0
Re: [ILUG] Zebra & Quagga,0,0,0,0,0,0,0,0,1,1,0
Exam Barnie - Important,1,1,0,0,0,0,0,0,1,1,1
Script viewer,0,1,0,0,1,0,0,0,1,1,1
helpful for your health.,0,0,0,0,0,0,0,1,1,1,1
[Bug 5800] RFE: rule DATE_CONTAINS_TAB (rule included) - Action needed,0,0,0,0,0,0,0,0,1,1,1
[Bug 5677] [review] New TLD list,0,0,1,0,0,0,0,1,1,0,1
Swell copies of elite watches,1,0,1,0,0,0,0,0,1,1,1
Re: [python-win32] get python install dir,0,0,0,0,0,0,0,0,1,1,0
Beyonce,0,0,0,1,1,0,0,0,1,1,1
[UAI] [Mlnet] HIS'05 - Final Call for Papers,1,0,0,0,1,0,1,0,1,1,1
Goodiest chrisse offer,1,0,0,0,0,0,0,1,1,1,1
Penis Enlargement Is Possible ! Learn How and What Products Work,0,1,0,0,0,0,1,0,0,1,1
[UAI] CfP Workshop "Privacy-Enhanced Personalization",0,0,0,0,0,0,0,0,1,1,0
[perl #57680] [CAGE] Problems in find_write_record ,0,1,1,0,0,0,1,0,1,0,1
We congratulate! You our client!,1,0,1,0,0,0,1,1,1,1,1
[opensuse] Firefox Java Plugin,1,0,0,0,0,0,0,1,1,1,1
 Spain Read my story at:   http://www.duodenalswitch.com/Patients/Dina/dina.html See my photos in the Photo Gallery at   http://www.bodybybaltasar.com/ See my ObesityHelp profile at: http://www.obesityhelp.com/member/dinamcb/ [Non-text portions of this message have been removed]           Back to top                       Reply to sender  |                        Reply to group  |                        Reply via web post               Messages in this topic             (5)                     4e.            Re: brain  shrinking       Posted by:      ""aasclvd@aol.com""             aasclvd@aol.com                                          yikes2bnluv                 Sat Feb 9,0,0,0,1,0,0,1,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
"[ie-rant] LCD Sound System in Crawdaddy, Sat. 20th Oct",0,0,1,0,0,0,0,0,1,1,0
Re: "Nice girl like to chat" spam ,0,0,0,0,0,0,0,0,1,1,0
Re: Use of reserved word "our" is deprecated,0,0,0,0,0,0,0,1,1,1,1
[UAI] The Reasoner 1(2),0,0,0,0,0,0,0,0,1,1,0
Possess longer and thicker dong! - Important,0,0,0,0,0,0,0,0,1,1,0
Five Blu-ray players for less than $500,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,1,0,1,1,0,0,0,1,1,1
Re: Low scores,0,0,0,0,0,0,1,0,1,1,1
Re: (perl-current of 5.9.5) patch for ext/Sys/Syslog/Makefile.PL for EBCDIC platform,0,1,0,1,1,0,0,0,1,1,1
Doctors help men with low libidos,0,0,0,0,0,0,0,0,1,1,0
Re: [opensuse] Opensuse Updater endless Loop - Bad Cups Update?,0,0,0,0,0,0,1,0,1,1,1
CNN.com Daily Top 10 - Action needed,0,0,0,0,0,0,1,0,0,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Re: [ILUG] Where to buy new PC without OS ?,0,0,1,0,0,0,0,0,1,1,1
No scoring because of not beeing tested ?,0,0,0,0,0,0,0,0,1,1,0
"Wekalist Digest, Vol 60, Issue 19",0,0,1,0,1,0,0,0,1,1,1
in processing....,0,0,1,1,0,0,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
G-spot location techniques for men,0,0,0,0,0,0,0,0,1,1,0
Re: postfix-2.5.1 - smtpd logging ":unknown" on client lines,0,0,1,0,1,0,0,0,1,1,1
diffusion blackball lecture nd bezel,1,0,1,0,0,0,0,0,0,1,1
Re: [python-win32] Any interest in a pywin32 open session at PyCon?,1,1,1,1,0,0,0,0,1,1,1
Re: Recipient Verification,0,0,0,1,0,0,1,1,1,1,1
Buy a new Perrelet watch   ,1,1,0,1,1,1,0,0,0,1,1
Please be informed that you should be extremely careful choosing your penis enlargement method.,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10 - Action needed,0,0,0,0,0,0,0,0,1,1,0
Enjoy gambling in the most reliable online casino!,0,0,0,0,0,0,0,0,1,1,0
Most reliable replica from Patek Philippe watch here   ,0,0,0,0,0,0,0,0,1,1,0
From Carlo Marsh,0,0,0,0,0,0,0,0,1,1,0
Rolex replica watch,0,0,1,0,0,0,0,0,1,0,0
"ChiPy ~Special~ Monthly Meeting Tuesday, April 15th",0,0,0,0,0,0,0,0,1,1,0
Re: [Python-3000] Spooky behavior of dict.items() and friends,0,0,0,0,0,0,1,0,1,1,1
fashionable replica watches,0,1,1,0,0,0,1,0,1,1,1
How To Enlarge Penis Size,1,1,0,0,0,0,1,0,1,1,1
You've received an E-Greeting - Please verify,0,0,0,0,1,0,1,0,1,1,1
CNN Alerts: My Custom Alert,0,1,1,1,0,0,0,0,1,0,1
[ie-rant] Winehouse @ EMA's,0,0,0,0,0,0,0,0,1,1,0
[PownceAPI] Working with oAuth,0,0,0,1,1,0,0,0,1,1,1
"Beautiful quartz, water-resistant Replica Watches",0,0,0,0,0,0,0,1,1,1,1
Summer cut off on weight losing products.,0,0,0,0,0,0,0,0,1,1,0
Re: [127.0.0.1]: Connection refused),1,1,0,0,0,1,0,0,0,1,1
Re: Broken OO-parent-method call & can(),0,0,1,0,0,1,0,0,1,1,1
"Teco Industry is in the business of corn, wheat, paddy, and",0,0,0,0,0,0,0,0,1,1,0
Unique health items,0,0,0,0,0,0,0,0,1,1,1
Goodiest gunner proposition,0,0,0,0,0,0,0,0,1,1,0
pretentious pittsburgh when connie fireman,0,0,0,1,0,0,0,1,1,1,1
[Python-Dev] Deco,0,0,1,0,1,1,0,1,1,1,1
"[Spambayes-checkins] spambayes/scripts core_server.py,1.1,1.2",0,1,0,1,0,0,0,0,1,1,1
CNN.com Daily Top 10,1,1,0,0,0,0,1,0,1,1,1
"Make the Impossible, Possible. Enlarge your Penis by 3"" in Weeks!",0,0,0,0,0,1,0,0,1,1,1
"[Perl Jobs] Perl Web Developer (onsite), United Kingdom, Essex, Stansted",0,0,0,0,0,0,0,0,1,1,0
Re: [perl #46019] Documentation for 'srand' has a problem in code snippet,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10 - Urgent,1,0,1,1,0,0,0,0,1,1,1
Unbelievable changes in your relationships,0,0,0,0,0,0,0,0,1,1,0
"RE: [PATCH] RE: Change 32238: ""Bake"" the values of PERL_REVISION, PERL_VERSION and PERL_SUBVERSION - Action needed",0,1,0,0,1,0,0,0,1,1,1
PharmacyPhentrimineForValuedCustomer - Important,0,0,0,0,0,0,0,0,1,1,1
Planet Sports Draw for Tuesday the 29th April,1,0,1,0,0,1,0,0,1,1,1
*3 FREE Bottles Of VPXL !! ,0,0,0,0,0,0,0,0,1,1,0
A card for you,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-Dev] Problems with the new super(),0,0,1,1,1,0,0,0,1,1,1
"TuxOnIce-users Digest, Vol 36, Issue 14",0,1,0,0,0,0,1,1,0,1,1
[UAI] 2nd CFP: olmh@ESSLLI 2006,0,0,0,0,0,0,0,0,1,1,1
Gain more inches for its length,1,0,0,0,1,0,0,0,1,1,1
helpful for your health.,0,0,0,0,0,0,0,0,1,1,0
"Re: [Python-Dev] annoying dictionary problem, non-existing keys",0,0,0,0,0,0,0,0,1,1,0
"100% Safe To Take, With NO Side Effects. - Please verify",0,0,0,1,1,1,1,0,1,1,1
Prodigious preparation is to your service,1,0,0,1,0,0,1,1,1,1,1
"Limited time offer, get one of three antieds free with every product.",1,1,1,1,0,0,0,0,1,1,1
Re: [Python-Dev] Invitation to try out open source code review tool,0,0,0,0,0,0,0,0,1,1,0
Compare Top 5 Penis Enlargers,1,1,0,1,0,0,0,0,1,1,1
"Re: [Python-Dev] thoughts on having EOFError inherit from	EnvironmentError?",0,0,0,0,0,0,0,0,1,1,0
InfoSoftTabsCustomerSupport,0,0,0,0,0,0,0,1,1,1,1
Mega-huge dimension for you!,0,0,0,0,0,0,1,0,1,1,0
Re: [python-win32] Library not Registered Error while running,0,0,1,0,0,0,0,0,1,1,0
[PownceAPI] Re: Problem with Character Set,0,0,0,0,1,1,1,0,1,1,1
BestsellersBestQualityCustomerSupport,1,1,0,1,1,0,0,0,1,1,1
